,MODEL,WEIGHTED,R2,AIC,BIC
95,"('Age', 'Items', 'MonthlyIncome', 'Gender_Male')",110.46056232359706,0.19822170340531808,32780.43529351649,32807.83179170541
129,"('Items', 'MonthlyIncome', 'TransactionTime', 'Gender_Male')",109.69060283021173,0.19802739306941808,32780.86444196568,32808.26094015459
96,"('Age', 'Items', 'MonthlyIncome', 'CityTier_Tier_2')",108.70377865722367,0.19777807468942987,32781.414927390775,32808.81142557969
130,"('Items', 'MonthlyIncome', 'TransactionTime', 'CityTier_Tier_2')",108.35084118732459,0.19768882968248025,32781.61193536512,32809.00843355404
135,"('Items', 'MonthlyIncome', 'Gender_Male', 'CityTier_Tier_2')",107.30610611016027,0.19742441784947418,32782.19549474683,32809.59199293575
116,"('Age', 'MonthlyIncome', 'Gender_Male', 'CityTier_Tier_3')",103.7585371238763,0.19652390921281293,32784.18148435043,32811.57798253935
111,"('Age', 'MonthlyIncome', 'TransactionTime', 'CityTier_Tier_3')",103.75472217562708,0.1965229386120675,32784.18362372073,32811.58012190965
152,"('MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_3')",102.5246369680325,0.19620972945346604,32784.87385541509,32812.270353604006
117,"('Age', 'MonthlyIncome', 'CityTier_Tier_2', 'CityTier_Tier_3')",102.02069740416692,0.19608126990423147,32785.15686914716,32812.55336733608
153,"('MonthlyIncome', 'TransactionTime', 'CityTier_Tier_2', 'CityTier_Tier_3')",101.10157033640746,0.1958467576650641,32785.673414657096,32813.06991284601
157,"('MonthlyIncome', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",101.01547173937843,0.195824775506099,32785.72182566808,32813.118323856994
109,"('Age', 'MonthlyIncome', 'TransactionTime', 'Gender_Male')",97.62689372176948,0.1949576564530242,32787.63041531079,32815.02691349971
115,"('Age', 'MonthlyIncome', 'Gender_Male', 'CityTier_Tier_2')",95.78386427051475,0.19448441184576093,32788.67119280422,32816.067690993135
110,"('Age', 'MonthlyIncome', 'TransactionTime', 'CityTier_Tier_2')",95.72585068773799,0.1944694966895788,32788.70398484131,32816.100483030226
151,"('MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_2')",94.25252725739233,0.1940903245142115,32789.53741811896,32816.93391630788
166,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'CityTier_Tier_3')",72.94373103541517,0.20000757804209113,32777.48306708727,32810.358864913964
171,"('Age', 'Items', 'MonthlyIncome', 'Gender_Male', 'CityTier_Tier_3')",71.94793468767136,0.19975848537698582,32778.03441536626,32810.91021319296
202,"('Items', 'MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_3')",71.50069169615512,0.19964650900718295,32778.28221090548,32811.158008732185
172,"('Age', 'Items', 'MonthlyIncome', 'CityTier_Tier_2', 'CityTier_Tier_3')",70.39183951474314,0.19936861407445428,32778.897022372985,32811.77282019968
203,"('Items', 'MonthlyIncome', 'TransactionTime', 'CityTier_Tier_2', 'CityTier_Tier_3')",70.26378370537498,0.19933649642086204,32778.96806533313,32811.84386315983
207,"('Items', 'MonthlyIncome', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",69.2067459892595,0.19907118306849791,32779.55481883504,32812.43061666173
